Team_Original,Team_Matched,Confederation,Stadium,City,Capacity,Country,Lat,Long,League
CD Santa Clara,Santa Clara,UEFA,Estadio de Sao Miguel,Ponta Delgada,13277,Portugal,37.7637,-25.6226,Liga Nos
CD Tondela,CD Tondela,UEFA,Estadio Joao Cardoso,Tondela,4500,Portugal,40.5119286,-8.0829992,Liga Nos
Celta de Vigo,Celta de Vigo,UEFA,Abanca Balaidos,Vigo,31800,Spain,42.2118719,-8.7397514,Primera Division
Chelsea FC,Chelsea,UEFA,Stamford Bridge,London,41631,England,51.481663,-0.1909565,Premier League
Coventry City,Coventry City,UEFA,Ricoh Arena,Coventry,32609,England,52.4487254,-1.4967264,Championship
Crystal Palace,Crystal Palace,UEFA,Selhurst Park,London,25456,England,51.3979742999999,-0.0860576,Premier League
CSKA Moscow,CSKA,UEFA,VEB Arena,Moscow,30000,Russia,55.7927079,37.5177337999999,Premier Liga
Derby County,Derby,UEFA,Pride Park Stadium,Derby,33597,England,52.9148277,-1.4472151,Championship
Dijon FCO,Dijon FCO,UEFA,Stade Gaston-Gerard,Dijon,16288,France,47.3243816,5.0683285,Ligue 1
Dinamo Moscow,Dinamo,UEFA,Stadion Dynamo,Moscow,37000,Russia,55.7910025,37.5594715,Premier Liga
Eintracht Frankfurt,Eintracht Frankfurt,UEFA,Commerzbank Arena,Frankfurt nad Menem,51500,Germany,50.0685807,8.645472,1 Bundesliga
Elche CF,Elche,UEFA,Estadio Manuel Martinez Valero,Elche,36017,Spain,38.2670263,-0.6641779,Primera Division
Everton FC,Everton,UEFA,Goodison Park,Liverpool,39595,England,53.438787,-2.9663193,Premier League
FC Augsburg,FC Augsburg,UEFA,Augsburg Arena,Augsburg,32354,Germany,48.3231778,10.8864185,1 Bundesliga
FC Barcelona,Barcelona,UEFA,Camp Nou,Barcelona,99354,Spain,41.380896,2.1228198,Primera Division
FC Crotone,Crotone,UEFA,Stadio Ezio Scida,Crotone,16547,Italy,39.0797,17.117,Serie A
FC Emmen,FC Emmen,UEFA,De Oude Meerdijk,Emmen,8301,Netherlands,52.7746209,6.9451211,Eredivisie
FC Famailcao,FC Famailcao,UEFA,Estadio Municipal 22 de Junho,Vila Nova de Famalicao,5307,Portugal,41.4024,-8.5243,Liga Nos
FC Groningen,FC Groningen,UEFA,Hitachi Stadion,Groningen,22550,Netherlands,53.2065543,6.5906315,Eredivisie
FC Koln,FC Koln,UEFA,RhineEnergieStadion,Cologne,50000,Germany,50.9335,6.8752,1 Bundesliga
FC Lorient,FC Lorient,UEFA,Stade du Moustoir,Lorient,18500,France,47.7481556,-3.3683792,Ligue 1
FC Metz,Metz,UEFA,Stade Saint Symphorien,Metz,26671,France,49.11105,6.1612556,Ligue 1
FC Nantes,Nantes,UEFA,Stade de la Beaujoire,Nantes,37473,France,47.2128256,-1.5381382,Ligue 1
FC Pacos de Ferreira,Pacos de Ferreira,UEFA,Estadio da Mata Real,Pacos de Ferreira,9077,Portugal,41.2706,-8.3857,Liga Nos
FC Porto,FC Porto,UEFA,Estadio do Dragao,Porto,50948,Portugal,41.16177,-8.583591,Liga Nos
FC Schalke 04,Schalke,UEFA,Veltins Arena,Gelsenkirchen,62271,Germany,51.5546309,7.0675262,1 Bundesliga
FC Tambov,Tambov,UEFA,Mordovia Arena,Saransk,44149,Russia,54.1817934,45.2036952,Premier Liga
FC Ufa,Ufa,UEFA,Neftyanik Stadium,Ufa,15132,Russia,54.8269,56.0617,Premier Liga
FC Union Berlin,Union,UEFA,Alte Forsterei,Berlin,22012,Germany,52.4578269,13.5681581,1 Bundesliga
FC Utrecht,Utrecht,UEFA,Stadion Galgenwaard,Utrecht,24426,Netherlands,52.0783638,5.1458244,Eredivisie
FC Zenit Saint Petersburg,Saint Petersburg,UEFA,Gazprom Arena,Saint Petersburg,68000,Russia,59.9727,30.2214,Premier Liga
Feyenoord Rotterdam,Feyenoord,UEFA,Stadion Feijenoord,Rotterdam,51117,Netherlands,51.8939035,4.5231354,Eredivisie
FK Khimki,CSKA,UEFA,Arena Khimki,Khimki,18636,Russia,55.8853158,37.454415,Premier Liga
FK Krasnodar,FK Krasnodar,UEFA,Stadion FK Krasnodar,Krasnodar,34291,Russia,45.0444895,39.0291907999999,Premier Liga
FK Rostov,FK Rostov,UEFA,Rostov Arena,Rostov-on-Don,45335,Russia,47.2094187999999,39.7377965,Premier Liga
